date,close,ticker
2025-07-09,305.52,GLD.US
2025-07-10,306.2,GLD.US
2025-07-11,309.14,GLD.US
2025-07-14,308.01,GLD.US
2025-07-15,306.73,GLD.US
2025-07-16,308.26,GLD.US
2025-07-17,307.59,GLD.US
2025-07-18,308.39,GLD.US
2025-07-21,313.13,GLD.US
2025-07-22,316.1,GLD.US
2025-07-23,312.18,GLD.US
2025-07-24,310.27,GLD.US
2025-07-25,307.4,GLD.US
2025-07-28,305.41,GLD.US
2025-07-29,306.25,GLD.US
2025-07-30,300.96,GLD.US
2025-07-31,302.96,GLD.US
2025-08-01,309.11,GLD.US
2025-08-04,310.91,GLD.US
2025-08-05,311.16,GLD.US
2025-08-06,310.5,GLD.US
2025-08-07,313.12,GLD.US
2025-08-08,313.05,GLD.US
2025-08-11,308.55,GLD.US
2025-08-12,308.27,GLD.US
2025-08-13,309.21,GLD.US
2025-08-14,307.25,GLD.US
2025-08-15,307.43,GLD.US
2025-08-18,306.95,GLD.US
2025-08-19,305.27,GLD.US
2025-08-20,308.36,GLD.US
2025-08-21,307.29,GLD.US
2025-08-22,310.58,GLD.US
2025-08-25,309.83,GLD.US
2025-08-26,312.08,GLD.US
2025-08-27,312.71,GLD.US
2025-08-28,315.03,GLD.US
2025-08-29,318.07,GLD.US
2025-09-02,325.59,GLD.US
2025-09-03,328.14,GLD.US
2025-09-04,326.69,GLD.US
2025-09-05,331.05,GLD.US
2025-09-08,334.82,GLD.US
2025-09-09,334.06,GLD.US
2025-09-10,335.26,GLD.US
2025-09-11,334.76,GLD.US
2025-09-12,335.42,GLD.US
2025-09-15,338.91,GLD.US
2025-09-16,339.59,GLD.US
2025-09-17,336.97,GLD.US
2025-09-18,335.62,GLD.US
2025-09-19,339.18,GLD.US
2025-09-22,345.05,GLD.US
2025-09-23,346.46,GLD.US
2025-09-24,343.32,GLD.US
2025-09-25,344.75,GLD.US
2025-09-26,346.74,GLD.US
2025-09-29,352.46,GLD.US
2025-09-30,355.47,GLD.US
2025-10-01,356.03,GLD.US
2025-10-02,354.79,GLD.US
2025-10-03,357.64,GLD.US
2025-10-06,364.38,GLD.US
2025-10-07,366.26,GLD.US
2025-10-08,372.3,GLD.US
2025-10-09,365.43,GLD.US
2025-10-10,369.12,GLD.US
2025-10-13,378.09,GLD.US
2025-10-14,380.79,GLD.US
2025-10-15,387.39,GLD.US
2025-10-16,396.45,GLD.US
2025-10-17,388.99,GLD.US
2025-10-20,403.15,GLD.US
2025-10-21,377.24,GLD.US
2025-10-22,377.28,GLD.US
2025-10-23,378.79,GLD.US
2025-10-24,377.52,GLD.US
2025-10-27,367.01,GLD.US
2025-10-28,364.38,GLD.US
2025-10-29,363.0,GLD.US
2025-10-30,370.13,GLD.US
2025-10-31,368.12,GLD.US
2025-11-03,368.78,GLD.US
2025-11-04,362.32,GLD.US
2025-11-05,366.51,GLD.US
2025-11-06,366.07,GLD.US
2025-11-07,368.31,GLD.US
2025-11-10,378.38,GLD.US
2025-11-11,379.87,GLD.US
2025-11-12,385.99,GLD.US
2025-11-13,382.87,GLD.US
2025-11-14,375.96,GLD.US
2025-11-17,371.65,GLD.US
2025-11-18,374.35,GLD.US
2025-11-19,374.96,GLD.US
2025-11-20,374.85,GLD.US
2025-11-21,374.27,GLD.US
2025-11-24,380.2,GLD.US
2025-11-25,380.08,GLD.US
2025-11-26,383.12,GLD.US
2025-11-28,387.88,GLD.US
2025-12-01,389.75,GLD.US
2025-12-02,387.24,GLD.US
2025-12-03,386.88,GLD.US
2025-12-04,387.13,GLD.US
2025-12-05,386.44,GLD.US
2025-12-08,385.42,GLD.US
2025-12-09,387.4,GLD.US
2025-12-10,389.05,GLD.US
2025-12-11,393.24,GLD.US
2025-12-12,395.44,GLD.US
2025-12-15,395.8,GLD.US
2025-12-16,395.89,GLD.US
2025-12-17,399.29,GLD.US
2025-12-18,398.57,GLD.US
2025-12-19,399.02,GLD.US
2025-12-22,408.23,GLD.US
2025-12-23,413.64,GLD.US
2025-12-24,411.93,GLD.US
2025-12-26,416.72,GLD.US
2025-07-09,94.81,IEF.US
2025-07-10,94.76,IEF.US
2025-07-11,94.32,IEF.US
2025-07-14,94.28,IEF.US
2025-07-15,93.91,IEF.US
2025-07-16,94.17,IEF.US
2025-07-17,94.14,IEF.US
2025-07-18,94.4,IEF.US
2025-07-21,94.73,IEF.US
2025-07-22,95.0,IEF.US
2025-07-23,94.66,IEF.US
2025-07-24,94.52,IEF.US
2025-07-25,94.74,IEF.US
2025-07-28,94.53,IEF.US
2025-07-29,95.15,IEF.US
2025-07-30,94.82,IEF.US
2025-07-31,94.9,IEF.US
2025-08-01,95.68,IEF.US
2025-08-04,95.81,IEF.US
2025-08-05,95.74,IEF.US
2025-08-06,95.67,IEF.US
2025-08-07,95.6,IEF.US
2025-08-08,95.38,IEF.US
2025-08-11,95.41,IEF.US
2025-08-12,95.39,IEF.US
2025-08-13,95.73,IEF.US
2025-08-14,95.42,IEF.US
2025-08-15,95.23,IEF.US
2025-08-18,95.14,IEF.US
2025-08-19,95.38,IEF.US
2025-08-20,95.52,IEF.US
2025-08-21,95.24,IEF.US
2025-08-22,95.77,IEF.US
2025-08-25,95.58,IEF.US
2025-08-26,95.83,IEF.US
2025-08-27,96.01,IEF.US
2025-08-28,96.23,IEF.US
2025-08-29,96.15,IEF.US
2025-09-02,95.55,IEF.US
2025-09-03,95.88,IEF.US
2025-09-04,96.31,IEF.US
2025-09-05,96.78,IEF.US
2025-09-08,97.08,IEF.US
2025-09-09,96.85,IEF.US
2025-09-10,97.11,IEF.US
2025-09-11,97.26,IEF.US
2025-09-12,96.98,IEF.US
2025-09-15,97.14,IEF.US
2025-09-16,97.2,IEF.US
2025-09-17,96.99,IEF.US
2025-09-18,96.67,IEF.US
2025-09-19,96.63,IEF.US
2025-09-22,96.47,IEF.US
2025-09-23,96.74,IEF.US
2025-09-24,96.48,IEF.US
2025-09-25,96.27,IEF.US
2025-09-26,96.22,IEF.US
2025-09-29,96.5,IEF.US
2025-09-30,96.46,IEF.US
2025-10-01,96.49,IEF.US
2025-10-02,96.59,IEF.US
2025-10-03,96.4,IEF.US
2025-10-06,96.12,IEF.US
2025-10-07,96.36,IEF.US
2025-10-08,96.38,IEF.US
2025-10-09,96.31,IEF.US
2025-10-10,96.91,IEF.US
2025-10-13,96.96,IEF.US
2025-10-14,97.21,IEF.US
2025-10-15,97.1,IEF.US
2025-10-16,97.55,IEF.US
2025-10-17,97.39,IEF.US
2025-10-20,97.52,IEF.US
2025-10-21,97.7,IEF.US
2025-10-22,97.72,IEF.US
2025-10-23,97.4,IEF.US
2025-10-24,97.49,IEF.US
2025-10-27,97.49,IEF.US
2025-10-28,97.58,IEF.US
2025-10-29,96.95,IEF.US
2025-10-30,96.81,IEF.US
2025-10-31,96.85,IEF.US
2025-11-03,96.5,IEF.US
2025-11-04,96.62,IEF.US
2025-11-05,96.16,IEF.US
2025-11-06,96.65,IEF.US
2025-11-07,96.69,IEF.US
2025-11-10,96.56,IEF.US
2025-11-11,96.86,IEF.US
2025-11-12,96.88,IEF.US
2025-11-13,96.6,IEF.US
2025-11-14,96.44,IEF.US
2025-11-17,96.55,IEF.US
2025-11-18,96.71,IEF.US
2025-11-19,96.64,IEF.US
2025-11-20,96.87,IEF.US
2025-11-21,97.19,IEF.US
2025-11-24,97.34,IEF.US
2025-11-25,97.59,IEF.US
2025-11-26,97.67,IEF.US
2025-11-28,97.5,IEF.US
2025-12-01,96.69,IEF.US
2025-12-02,96.77,IEF.US
2025-12-03,96.97,IEF.US
2025-12-04,96.67,IEF.US
2025-12-05,96.47,IEF.US
2025-12-08,96.27,IEF.US
2025-12-09,96.13,IEF.US
2025-12-10,96.44,IEF.US
2025-12-11,96.45,IEF.US
2025-12-12,96.19,IEF.US
2025-12-15,96.27,IEF.US
2025-12-16,96.54,IEF.US
2025-12-17,96.52,IEF.US
2025-12-18,96.77,IEF.US
2025-12-19,96.24,IEF.US
2025-12-22,96.14,IEF.US
2025-12-23,96.1,IEF.US
2025-12-24,96.35,IEF.US
2025-12-26,96.44,IEF.US
2025-07-09,223.65,IWM.US
2025-07-10,224.8,IWM.US
2025-07-11,221.7,IWM.US
2025-07-14,223.19,IWM.US
2025-07-15,218.82,IWM.US
2025-07-16,221.02,IWM.US
2025-07-17,223.92,IWM.US
2025-07-18,222.33,IWM.US
2025-07-21,221.43,IWM.US
2025-07-22,223.27,IWM.US
2025-07-23,226.68,IWM.US
