date,ticker,rc_share
2024-05-31,GLD.US,0.053125700325702185
2024-05-31,IEF.US,0.04948538434063531
2024-05-31,IWM.US,0.18023916563427694
2024-05-31,QQQ.US,0.13404522830701737
2024-05-31,SPY.US,0.11071102254329038
2024-05-31,TLT.US,0.10671400051221577
2024-05-31,UUP.US,-0.0359163776524788
2024-05-31,VNQ.US,0.16420461964727034
2024-05-31,XLF.US,0.09940445468759929
2024-05-31,XLK.US,0.13798680165447127
2024-06-28,GLD.US,0.058693028950493414
2024-06-28,IEF.US,0.05253525105845948
2024-06-28,IWM.US,0.17686553565121338
2024-06-28,QQQ.US,0.13346131946761947
2024-06-28,SPY.US,0.10894824240966276
2024-06-28,TLT.US,0.11266417331606635
2024-06-28,UUP.US,-0.03679133720662818
2024-06-28,VNQ.US,0.16222455341783792
2024-06-28,XLF.US,0.09361829044002333
2024-06-28,XLK.US,0.13778094249525197
2024-07-31,GLD.US,0.06093003736758963
2024-07-31,IEF.US,0.0484702146525456
2024-07-31,IWM.US,0.1758726830322461
2024-07-31,QQQ.US,0.1365002973569112
2024-07-31,SPY.US,0.11041236880704923
2024-07-31,TLT.US,0.10633568200415346
2024-07-31,UUP.US,-0.03332561651880202
2024-07-31,VNQ.US,0.1577787132069033
2024-07-31,XLF.US,0.09103018489654144
2024-07-31,XLK.US,0.1459954351948622
2024-08-30,GLD.US,0.060571299702527656
2024-08-30,IEF.US,0.03968408432453685
2024-08-30,IWM.US,0.18406775916218684
2024-08-30,QQQ.US,0.14149615884231184
2024-08-30,SPY.US,0.11451036330393623
2024-08-30,TLT.US,0.08570180502158047
2024-08-30,UUP.US,-0.028799502545913555
2024-08-30,VNQ.US,0.15131248245738574
2024-08-30,XLF.US,0.09460989781664261
2024-08-30,XLK.US,0.15684565191480557
2024-09-30,GLD.US,0.0626337093076179
2024-09-30,IEF.US,0.037251965655033754
2024-09-30,IWM.US,0.1867029040791963
2024-09-30,QQQ.US,0.14634203998528908
2024-09-30,SPY.US,0.11589878921336257
2024-09-30,TLT.US,0.07858644114622122
2024-09-30,UUP.US,-0.02916010345154851
2024-09-30,VNQ.US,0.14329250918255318
2024-09-30,XLF.US,0.0927831783786542
2024-09-30,XLK.US,0.16566856650362044
2024-10-31,GLD.US,0.0696204467865727
2024-10-31,IEF.US,0.03416063591433845
2024-10-31,IWM.US,0.18935178388539964
2024-10-31,QQQ.US,0.148725795026282
2024-10-31,SPY.US,0.11697778492715181
2024-10-31,TLT.US,0.06714819986135609
2024-10-31,UUP.US,-0.029400215557175362
2024-10-31,VNQ.US,0.13731605492398286
2024-10-31,XLF.US,0.0921063772030374
2024-10-31,XLK.US,0.17399313702905425
2024-11-29,GLD.US,0.07366115192934254
2024-11-29,IEF.US,0.02815873528280829
2024-11-29,IWM.US,0.19334438050485775
2024-11-29,QQQ.US,0.1538542609970451
2024-11-29,SPY.US,0.12049399709497204
2024-11-29,TLT.US,0.05487379045001109
