rebalance_date,ticker,weight
2018-01-02,GLD.US,0.1
2018-01-02,IEF.US,0.1
2018-01-02,IWM.US,0.1
2018-01-02,QQQ.US,0.1
2018-01-02,SPY.US,0.1
2018-01-02,TLT.US,0.1
2018-01-02,UUP.US,0.1
2018-01-02,VNQ.US,0.1
2018-01-02,XLF.US,0.1
2018-01-02,XLK.US,0.1
2018-01-31,GLD.US,0.1
2018-01-31,IEF.US,0.1
2018-01-31,IWM.US,0.1
2018-01-31,QQQ.US,0.1
2018-01-31,SPY.US,0.1
2018-01-31,TLT.US,0.1
2018-01-31,UUP.US,0.1
2018-01-31,VNQ.US,0.1
2018-01-31,XLF.US,0.1
2018-01-31,XLK.US,0.1
2018-02-28,GLD.US,0.1
2018-02-28,IEF.US,0.1
2018-02-28,IWM.US,0.1
2018-02-28,QQQ.US,0.1
2018-02-28,SPY.US,0.1
2018-02-28,TLT.US,0.1
2018-02-28,UUP.US,0.1
2018-02-28,VNQ.US,0.1
2018-02-28,XLF.US,0.1
2018-02-28,XLK.US,0.1
2018-03-29,GLD.US,0.1
2018-03-29,IEF.US,0.1
2018-03-29,IWM.US,0.1
2018-03-29,QQQ.US,0.1
2018-03-29,SPY.US,0.1
2018-03-29,TLT.US,0.1
2018-03-29,UUP.US,0.1
2018-03-29,VNQ.US,0.1
2018-03-29,XLF.US,0.1
2018-03-29,XLK.US,0.1
2018-04-30,GLD.US,0.1
2018-04-30,IEF.US,0.1
2018-04-30,IWM.US,0.1
2018-04-30,QQQ.US,0.1
2018-04-30,SPY.US,0.1
2018-04-30,TLT.US,0.1
2018-04-30,UUP.US,0.1
2018-04-30,VNQ.US,0.1
2018-04-30,XLF.US,0.1
2018-04-30,XLK.US,0.1
2018-05-31,GLD.US,0.1
2018-05-31,IEF.US,0.1
2018-05-31,IWM.US,0.1
2018-05-31,QQQ.US,0.1
2018-05-31,SPY.US,0.1
2018-05-31,TLT.US,0.1
2018-05-31,UUP.US,0.1
2018-05-31,VNQ.US,0.1
2018-05-31,XLF.US,0.1
2018-05-31,XLK.US,0.1
2018-06-29,GLD.US,0.1
2018-06-29,IEF.US,0.1
2018-06-29,IWM.US,0.1
2018-06-29,QQQ.US,0.1
2018-06-29,SPY.US,0.1
2018-06-29,TLT.US,0.1
2018-06-29,UUP.US,0.1
2018-06-29,VNQ.US,0.1
2018-06-29,XLF.US,0.1
2018-06-29,XLK.US,0.1
2018-07-31,GLD.US,0.1
2018-07-31,IEF.US,0.1
2018-07-31,IWM.US,0.1
2018-07-31,QQQ.US,0.1
2018-07-31,SPY.US,0.1
2018-07-31,TLT.US,0.1
2018-07-31,UUP.US,0.1
2018-07-31,VNQ.US,0.1
2018-07-31,XLF.US,0.1
2018-07-31,XLK.US,0.1
2018-08-31,GLD.US,0.1
2018-08-31,IEF.US,0.1
2018-08-31,IWM.US,0.1
2018-08-31,QQQ.US,0.1
2018-08-31,SPY.US,0.1
2018-08-31,TLT.US,0.1
2018-08-31,UUP.US,0.1
2018-08-31,VNQ.US,0.1
2018-08-31,XLF.US,0.1
2018-08-31,XLK.US,0.1
2018-09-28,GLD.US,0.1
2018-09-28,IEF.US,0.1
2018-09-28,IWM.US,0.1
2018-09-28,QQQ.US,0.1
2018-09-28,SPY.US,0.1
2018-09-28,TLT.US,0.1
2018-09-28,UUP.US,0.1
2018-09-28,VNQ.US,0.1
2018-09-28,XLF.US,0.1
2018-09-28,XLK.US,0.1
